neighbourhood_id,listing_per_neighbourhood,host_per_neighbourhood,avg_listing_per_host_per_neighbourhood,total_listings,weighted_avg_listing_per_host_per_neighbourhood
1,834,604,1.38079,20083,0.05734
2,200,139,1.43885,20083,0.01433
3,4,4,1.00000,20083,0.00020
4,162,127,1.27559,20083,0.01029
5,795,570,1.39474,20083,0.05521
6,76,63,1.20635,20083,0.00457
7,51,40,1.27500,20083,0.00324
8,200,161,1.24224,20083,0.01237
9,18,15,1.20000,20083,0.00108
10,424,305,1.39016,20083,0.02935
11,7,6,1.16667,20083,0.00041
12,316,247,1.27935,20083,0.02013
13,112,98,1.14286,20083,0.00637
14,32,22,1.45455,20083,0.00232
15,2,2,1.00000,20083,0.00010
16,215,183,1.17486,20083,0.01258
17,23,6,3.83333,20083,0.00439
18,8,7,1.14286,20083,0.00046
19,430,285,1.50877,20083,0.03230
20,92,74,1.24324,20083,0.00570
21,2,2,1.00000,20083,0.00010
22,2,2,1.00000,20083,0.00010
23,315,224,1.40625,20083,0.02206
24,46,33,1.39394,20083,0.00319
25,213,191,1.11518,20083,0.01183
26,1,1,1.00000,20083,0.00005
27,435,290,1.50000,20083,0.03249
28,2,2,1.00000,20083,0.00010
29,47,45,1.04444,20083,0.00244
30,165,139,1.18705,20083,0.00975
31,322,261,1.23372,20083,0.01978
32,12,9,1.33333,20083,0.00080
33,134,109,1.22936,20083,0.00820
34,62,52,1.19231,20083,0.00368
35,31,23,1.34783,20083,0.00208
36,77,67,1.14925,20083,0.00441
37,352,261,1.34866,20083,0.02364
38,875,649,1.34823,20083,0.05874
39,784,567,1.38272,20083,0.05398
40,281,206,1.36408,20083,0.01909
41,21,13,1.61538,20083,0.00169
42,14,14,1.00000,20083,0.00070
43,367,294,1.24830,20083,0.02281
44,34,31,1.09677,20083,0.00186
45,358,277,1.29242,20083,0.02304
46,442,355,1.24507,20083,0.02740
47,76,65,1.16923,20083,0.00442
48,646,490,1.31837,20083,0.04241
49,260,205,1.26829,20083,0.01642
50,4,1,4.00000,20083,0.00080
51,11,9,1.22222,20083,0.00067
52,241,213,1.13146,20083,0.01358
53,202,141,1.43262,20083,0.01441
54,41,38,1.07895,20083,0.00220
55,114,92,1.23913,20083,0.00703
56,844,530,1.59245,20083,0.06692
57,563,420,1.34048,20083,0.03758
58,114,86,1.32558,20083,0.00752
59,823,492,1.67276,20083,0.06855
60,183,142,1.28873,20083,0.01174
61,1254,523,2.39771,20083,0.14972
62,22,21,1.04762,20083,0.00115
63,215,176,1.22159,20083,0.01308
64,121,101,1.19802,20083,0.00722
65,9,8,1.12500,20083,0.00050
66,378,311,1.21543,20083,0.02288
67,23,21,1.09524,20083,0.00125
68,362,283,1.27915,20083,0.02306
69,352,303,1.16172,20083,0.02036
70,102,89,1.14607,20083,0.00582
71,246,206,1.19417,20083,0.01463
72,98,87,1.12644,20083,0.00550
73,1,1,1.00000,20083,0.00005
74,39,30,1.30000,20083,0.00252
75,290,224,1.29464,20083,0.01869
76,1604,1040,1.54231,20083,0.12318
77,79,66,1.19697,20083,0.00471
78,2,2,1.00000,20083,0.00010
79,77,65,1.18462,20083,0.00454
80,245,205,1.19512,20083,0.01458
81,383,306,1.25163,20083,0.02387
82,7,6,1.16667,20083,0.00041
83,3,3,1.00000,20083,0.00015
84,362,281,1.28826,20083,0.02322
85,30,24,1.25000,20083,0.00187
86,118,106,1.11321,20083,0.00654
87,114,97,1.17526,20083,0.00667
88,30,22,1.36364,20083,0.00204
