neighbourhood_id,listing_per_neighbourhood,total_review_scores_rating_per_neighbourhood,avg_review_scores_rating_per_neighbourhood,total_listings,weighted_avg_review_scores_rating_per_neighbourhood
73,1,5.00,5.00000,20083,0.00025
83,3,14.73,4.91000,20083,0.00073
32,12,58.86,4.90500,20083,0.00293
17,23,111.17,4.83348,20083,0.00554
3,4,19.33,4.83250,20083,0.00096
65,9,43.44,4.82667,20083,0.00216
86,118,567.87,4.81246,20083,0.02828
13,112,538.54,4.80839,20083,0.02682
67,23,110.59,4.80826,20083,0.00551
62,22,105.62,4.80091,20083,0.00526
11,7,33.60,4.80000,20083,0.00167
22,2,9.60,4.80000,20083,0.00048
42,14,67.10,4.79286,20083,0.00334
70,102,488.02,4.78451,20083,0.02430
58,114,545.30,4.78333,20083,0.02715
77,79,377.80,4.78228,20083,0.01881
71,246,1176.38,4.78203,20083,0.05858
75,290,1383.18,4.76959,20083,0.06887
8,200,952.20,4.76100,20083,0.04741
55,114,542.73,4.76079,20083,0.02702
6,76,361.77,4.76013,20083,0.01801
29,47,223.61,4.75766,20083,0.01113
79,77,366.27,4.75675,20083,0.01824
53,202,960.02,4.75257,20083,0.04780
47,76,360.83,4.74776,20083,0.01797
16,215,1019.89,4.74367,20083,0.05078
43,367,1740.42,4.74229,20083,0.08666
5,795,3766.13,4.73727,20083,0.18753
39,784,3711.74,4.73436,20083,0.18482
52,241,1140.83,4.73373,20083,0.05681
81,383,1812.86,4.73332,20083,0.09027
12,316,1495.31,4.73199,20083,0.07446
25,213,1007.71,4.73103,20083,0.05018
64,121,572.33,4.73000,20083,0.02850
38,875,4137.55,4.72863,20083,0.20602
66,378,1787.20,4.72804,20083,0.08899
48,646,3053.74,4.72715,20083,0.15206
35,31,146.46,4.72452,20083,0.00729
24,46,217.27,4.72326,20083,0.01082
46,442,2086.98,4.72167,20083,0.10392
49,260,1227.51,4.72119,20083,0.06112
63,215,1015.03,4.72107,20083,0.05054
20,92,434.20,4.71957,20083,0.02162
45,358,1689.50,4.71927,20083,0.08413
72,98,462.45,4.71888,20083,0.02303
87,114,537.68,4.71649,20083,0.02677
10,424,1999.09,4.71483,20083,0.09954
85,30,141.42,4.71400,20083,0.00704
14,32,150.84,4.71375,20083,0.00751
80,245,1154.84,4.71363,20083,0.05750
84,362,1706.25,4.71340,20083,0.08496
19,430,2024.87,4.70900,20083,0.10083
74,39,183.61,4.70795,20083,0.00914
68,362,1703.01,4.70445,20083,0.08480
76,1604,7543.96,4.70322,20083,0.37564
15,2,9.40,4.70000,20083,0.00047
57,563,2645.00,4.69805,20083,0.13170
69,352,1653.47,4.69736,20083,0.08233
30,165,774.86,4.69612,20083,0.03858
31,322,1511.07,4.69276,20083,0.07524
56,844,3960.15,4.69212,20083,0.19719
59,823,3859.28,4.68928,20083,0.19217
37,352,1649.87,4.68713,20083,0.08215
36,77,360.89,4.68688,20083,0.01797
4,162,758.71,4.68340,20083,0.03778
7,51,238.77,4.68176,20083,0.01189
23,315,1474.17,4.67990,20083,0.07340
9,18,84.20,4.67778,20083,0.00419
88,30,140.15,4.67167,20083,0.00698
1,834,3880.55,4.65294,20083,0.19323
60,183,851.16,4.65115,20083,0.04238
21,2,9.30,4.65000,20083,0.00046
40,281,1306.62,4.64989,20083,0.06506
33,134,622.51,4.64560,20083,0.03100
44,34,157.83,4.64206,20083,0.00786
61,1254,5819.61,4.64084,20083,0.28978
2,200,927.31,4.63655,20083,0.04617
41,21,97.20,4.62857,20083,0.00484
50,4,18.51,4.62750,20083,0.00092
34,62,286.45,4.62016,20083,0.01426
51,11,50.63,4.60273,20083,0.00252
27,435,2000.72,4.59936,20083,0.09962
26,1,4.50,4.50000,20083,0.00022
54,41,184.34,4.49610,20083,0.00918
78,2,8.74,4.37000,20083,0.00044
82,7,30.07,4.29571,20083,0.00150
18,8,33.74,4.21750,20083,0.00168
28,2,7.50,3.75000,20083,0.00037
